Empresa,Numero,Trimestre,Ativo total,Lucro operacional,Depositos totais,M_Roa,M_Ets,DP_Roa,z_score,TAM,LIQ,SB  t,SB t-1,PQ_dummy,Roa,Ets,LN Depósitos,Patrimonio liquido,LN PL
MER,12,14_3t,13223945,-47513,2744332,-0.000420507042857,0.064463338407373,0.003368159050532,19.0141945210121,16.3975397593697,0.207527481398327,-0.057116954,-0.00758214,0,0.003477043805392,0.120218801536466,14.2775418675522,774532,13.5600142549642
MER,12,14_4t,13275749,-87289,3197454,-0.001119473142614,0.063013814726663,0.003715068256905,16.6603511171041,16.4014495453462,0.240849235700374,-0.107675318,-0.057116954,1,-0.003359827685587,0.116458951544249,13.9283123187567,713819,13.4783847077843
MER,12,15_1t,13269665,-3834,3216656,-0.001286010635015,0.062164167592615,0.003620306814981,16.8157452030538,16.4009911610764,0.242406722400302,-0.08129285,-0.107675318,1,0.0003211056642,0.12041631882712,13.7453305535423,716055,13.4815122586351
MER,12,15_2t,12819697,81724,3084615,-0.000983428689923,0.061376892651812,0.004106793056547,14.7057480448431,16.3664933742321,0.240615281312811,0,-0.08129285,1,-0.010845078430123,0.119032056715168,13.7271732113563,745967,13.5224366422825
MER,12,15_3t,12395094,-12287,2778278,-0.001301407266208,0.060927653597938,0.003929028732185,15.1758234403557,16.3328113071258,0.224143358654642,-0.078431373,0,1,0.001095949411619,0.131249592263929,13.7834314825005,758320,13.5388607391269
MER,12,15_4t,12410146,21878,2457613,-0.00149395785267,0.06058884234032,0.003691085623347,16.0101635447991,16.3340249218175,0.19803256142192,-0.066595631,-0.078431373,1,0.002469727326116,0.138053525726777,13.8026714887211,750323,13.5282590594689
MER,12,16_1t,12415620,23829,2327503,-0.001506728443547,0.06127088348677,0.003677865807324,16.2496834235266,16.3344659152667,0.187465708518785,-0.066390041,-0.066595631,1,-0.000561661626965,0.138144340162576,13.7174058771767,906789,13.7176650669729
MER,12,16_2t,11968616,25387,2056736,-0.001176886786789,0.06229627730819,0.003820285846432,15.9986432896092,16.2977984484601,0.171844096259751,-0.022569444,-0.066390041,1,-0.001205688398214,0.138408102033799,13.9210662545731,902748,13.7131987236845
MER,12,16_3t,11317604,-6509,1845311,-0.000787019131382,0.063760214742171,0.003598731265664,17.4987213442764,16.2418699475586,0.163047850057309,-0.090909091,-0.022569444,1,-0.001549794653129,0.140881499542583,13.6642026669146,906672,13.7175360319397
MER,12,16_4t,10550962,13117,1925166,-0.000627853231536,0.065266025871535,0.003646453811054,17.7263105442474,16.1717275985634,0.182463551664768,-0.085505735,-0.090909091,1,0.00169717990061,0.132596632390604,13.6857321142091,895232,13.7048381815429
